,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,title,studio,domestic_gross,foreign_gross,year
936,tt3129564,Diplomacy,Diplomatie,2014,84.0,"Drama,War",7.1,4469,Diplomacy,Zeit.,231000.0,3700000,2014
937,tt3142688,Finding Fanny,Finding Fanny,2014,102.0,"Adventure,Comedy,Drama",5.8,5841,Finding Fanny,FIP,616000.0,7100000,2014
938,tt3144098,Commitment,Dong-chang-saeng,2013,113.0,"Action,Drama",6.8,2499,Commitment,WGUSA,76500.0,4500000,2013
939,tt3152624,Trainwreck,Trainwreck,2015,125.0,"Comedy,Drama,Romance",6.2,121860,Trainwreck,Uni.,110200000.0,30600000,2015
940,tt3165612,Sleeping with Other People,Sleeping with Other People,2015,101.0,"Comedy,Drama,Romance",6.5,36105,Sleeping with Other People,IFC,819000.0,2400000,2015
941,tt3168230,Mr. Holmes,Mr. Holmes,2015,104.0,"Drama,Mystery",6.9,57976,Mr. Holmes,RAtt.,17700000.0,11600000,2015
942,tt3170832,Room,Room,2015,118.0,"Drama,Thriller",8.2,316791,Room,A24,14700000.0,20700000,2015
943,tt3179568,"Men, Women & Children","Men, Women & Children",2014,119.0,"Comedy,Drama",6.7,28110,"Men, Women & Children",Par.,706000.0,1500000,2014
944,tt3181822,The Boy Next Door,The Boy Next Door,2015,91.0,"Horror,Thriller",4.7,34816,The Boy Next Door,Uni.,35400000.0,17000000,2015
945,tt3195742,Journey to the South Pacific,Journey to the South Pacific,2013,40.0,Documentary,6.5,145,Journey to the South Pacific,Imax,7600000.0,6500000,2013
946,tt3203890,Pulling Strings,Pulling Strings,2013,111.0,"Comedy,Romance",6.0,1644,Pulling Strings,LGF,5800000.0,2000000,2013
947,tt3210686,Son of God,Son of God,2014,138.0,"Biography,Drama,History",5.8,17606,Son of God,Fox,59700000.0,8100000,2014
948,tt3216348,Incarnate,Incarnate,2016,91.0,"Horror,Thriller",5.3,10217,Incarnate,BH Tilt,4800000.0,1500000,2016
949,tt3231054,Risen,Risen,2016,107.0,"Action,Adventure,Drama",6.3,22813,Risen,Sony,36900000.0,9200000,2016
950,tt3262342,Loving Vincent,Loving Vincent,2017,94.0,"Animation,Biography,Crime",7.8,39737,Loving Vincent,Good Deed,6700000.0,35500000,2017
951,tt3263904,Sully,Sully,2016,96.0,"Biography,Drama",7.5,202718,Sully,WB,125100000.0,115700000,2016
952,tt3289724,Welcome to Marwen,Welcome to Marwen,2018,116.0,"Biography,Comedy,Drama",6.1,8920,Welcome to Marwen,Uni.,10800000.0,2100000,2018
953,tt3289956,The Autopsy of Jane Doe,The Autopsy of Jane Doe,2016,86.0,"Horror,Mystery,Thriller",6.8,76339,The Autopsy of Jane Doe,IFC,10500.0,6000000,2016
954,tt3300542,London Has Fallen,London Has Fallen,2016,99.0,"Action,Thriller",5.9,124757,London Has Fallen,Focus,62500000.0,143200000,2016
955,tt3302594,The Mystery of Happiness,El misterio de la felicidad,2014,92.0,"Comedy,Drama,Romance",6.1,743,The Mystery of Happiness,Strand,8500.0,3200000,2014
956,tt3316948,American Ultra,American Ultra,2015,96.0,"Action,Comedy,Sci-Fi",6.1,76769,American Ultra,LGF,14400000.0,12700000,2015
957,tt3319730,The Mercy,The Mercy,2018,112.0,"Adventure,Biography,Drama",6.0,5457,The Mercy,Scre.,29500.0,4200000,2018
958,tt3322940,Annabelle,Annabelle,2014,99.0,"Horror,Mystery,Thriller",5.4,122039,Annabelle,WB (NL),84300000.0,172800000,2014
959,tt3332064,Pan,Pan,2015,111.0,"Adventure,Comedy,Family",5.8,55867,Pan,WB,35100000.0,93300000,2015
960,tt3348730,Jigsaw,Jigsaw,2017,92.0,"Crime,Horror,Mystery",5.8,57184,Jigsaw,LGF,38100000.0,64900000,2017
961,tt3371366,Transformers: The Last Knight,Transformers: The Last Knight,2017,154.0,"Action,Adventure,Sci-Fi",5.2,119007,Transformers: The Last Knight,Par.,130199999.0,475300000,2017
962,tt3381008,The Brothers Grimsby,Grimsby,2016,83.0,"Action,Adventure,Comedy",6.2,82123,The Brothers Grimsby,Sony,6900000.0,18300000,2016
963,tt3385516,X-Men: Apocalypse,X-Men: Apocalypse,2016,144.0,"Action,Adventure,Sci-Fi",7.0,356556,X-Men: Apocalypse,Fox,155400000.0,388500000,2016
